,molecule_chembl_id,smiles
37,CHEMBL2435033,O=C(N[C@@H](CC1CCCCC1)C(=O)N[C@@H](CC1CCNC1=O)C(O)P(=O)(OCC(F)(F)F)OCC(F)(F)F)OCc1ccccc1
38,CHEMBL3427163,CC(C)(C)OC(=O)Nc1cccc(COC(=O)N[C@@H](CC2CCCCC2)C(=O)N[C@H](C=O)C[C@@H]2CCNC2=O)c1
39,CHEMBL3427169,O=C(N[C@@H](CC1CCCCC1)C(=O)N[C@@H](C[C@@H]1CCNC1=O)C(O)S(=O)(=O)[O-])OCc1ccccc1.[Na+]
40,CHEMBL3559324,O=C(N[C@@H](CC1CCCCC1)C(=O)N[C@@H](C[C@@H]1CCNC1=O)C(O)S(=O)(=O)O)OCc1ccccc1
41,CHEMBL4080873,CC(=O)OC([C@H](C[C@@H]1CCNC1=O)NC(=O)[C@H](CC1CCCCC1)NC(=O)OCc1ccccc1)S(=O)(=O)[O-].[Na+]
42,CHEMBL4091930,O=C1NCC[C@H]1C[C@H](NC(=O)[C@H](CC1CCCCC1)NS(=O)(=O)Cc1ccccc1)C(O)S(=O)(=O)[O-].[Na+]
43,CHEMBL4101004,O=C(N[C@@H](CC1CCCCC1)C(=O)N[C@@H](C[C@@H]1CCNC1=O)C(O)S(=O)(=O)[O-])OCCOCc1ccccc1.[Na+]
44,CHEMBL4116009,O=C1NCC[C@H]1C[C@H](NC(=O)[C@H](CC1CCCCC1)NS(=O)(=O)Cc1ccccc1)C(O)S(=O)(=O)O
45,CHEMBL4116955,O=C(N[C@@H](CC1CCCCC1)C(=O)N[C@@H](C[C@@H]1CCNC1=O)C(O)S(=O)(=O)O)OCCOCc1ccccc1
46,CHEMBL4117387,CC(=O)OC([C@H](C[C@@H]1CCNC1=O)NC(=O)[C@H](CC1CCCCC1)NC(=O)OCc1ccccc1)S(=O)(=O)O
47,CHEMBL4203883,CC(C)C[C@H](NC(=O)OC1(Cc2ccccc2)CCN(C(=O)OC(C)(C)C)CC1)C(=O)N[C@@H](C[C@@H]1CCNC1=O)C(O)S(=O)(=O)[O-].[Na+]
48,CHEMBL4303012,CC(C)C[C@H](NC(=O)OC1(Cc2ccccc2)CCN(C(=O)OC(C)(C)C)CC1)C(=O)N[C@@H](C[C@@H]1CCNC1=O)C(O)S(=O)(=O)O
